conference	paper_title	doi	author	author_url	author_position
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	SilverCycling: Evaluating Persuasive Strategies to Promote Physical Activity among Older Adults	10.1145/3197391.3205410	Antonio Krueger	https://dl.acm.org/author_page.cfm?id=99659235222	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	David Chung	https://dl.acm.org/author_page.cfm?id=99658760894	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	Mathias Funk	https://dl.acm.org/author_page.cfm?id=81343492899	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	Rung-Huei Liang	https://dl.acm.org/author_page.cfm?id=99659177680	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Explorations on Reciprocal Interplay in Things Ecology	10.1145/3197391.3205411	Lin-Lin Chen	https://dl.acm.org/author_page.cfm?id=99658706963	4
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Walkers' Union: Designing New Urban Walking Rituals with Blockchain	10.1145/3197391.3205412	Guowei Jiang	https://dl.acm.org/author_page.cfm?id=99659277406	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Walkers' Union: Designing New Urban Walking Rituals with Blockchain	10.1145/3197391.3205412	Elisa Giaccardi	https://dl.acm.org/author_page.cfm?id=81328488344	2
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Walkers' Union: Designing New Urban Walking Rituals with Blockchain	10.1145/3197391.3205412	Armagan Albayrak	https://dl.acm.org/author_page.cfm?id=87959302957	3
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Cognitive Playfulness Through Zero Interactions	10.1145/3197391.3205413	Chang Hee Lee	https://dl.acm.org/author_page.cfm?id=99659160490	1
DIS '18 Companion:Proceedings of the 2018 ACM Conference Companion Publication on Designing Interactive Systems	Exploring Cognitive Playfulness Through Zero Interactions	10.1145/3197391.3205413	Dan Lockton	https://dl.acm.org/author_page.cfm?id=81384592215	2
